gaul_adm2,adm2_name,str2_year,exp2_year,status,disp_area
40621,Ryansoro,1000,3000,Member State,NO
40667,Ndava,1000,3000,Member State,NO
40593,Buyengero,1000,3000,Member State,NO
40580,Bugarama,2004,3000,Member State,NO
40590,Administrative unit not available,1000,3000,Member State,NO
40591,Burambi,1000,3000,Member State,NO
40753,Kanyosha1,1000,3000,Member State,NO
40582,Kabezi,1000,3000,Member State,NO
40586,Muhuta,2004,3000,Member State,NO
40755,Mukike,1000,3000,Member State,NO
40756,Mutambu,1000,3000,Member State,NO
40757,Nyabiraba,1000,3000,Member State,NO
40592,Bururi,1000,3000,Member State,NO
40651,Vugizo,1000,3000,Member State,NO
40599,Vyanda,1000,3000,Member State,NO
40669,Rusaka,1000,3000,Member State,NO
40595,Mugamba,1000,3000,Member State,NO
40598,Songa,1000,3000,Member State,NO
40754,Mugongomanga,1000,3000,Member State,NO
40665,Gisozi,1000,3000,Member State,NO
40664,Bisoro,1000,3000,Member State,NO
40594,Matana,1000,3000,Member State,NO
40666,Kayokwe,1000,3000,Member State,NO
40561,Mpanda,1000,3000,Member State,NO
40609,Murwi,1000,3000,Member State,NO
40559,Bubanza,1000,3000,Member State,NO
40637,Rango,1000,3000,Member State,NO
40652,Bukeye,1000,3000,Member State,NO
40655,Muramvya,1000,3000,Member State,NO
40581,Isale,1000,3000,Member State,NO
40563,Rugazi,1000,3000,Member State,NO
40584,Mubimbi,1000,3000,Member State,NO
40656,Rutegama,1000,3000,Member State,NO
40653,Kiganda,1000,3000,Member State,NO
40654,Mbuye,1000,3000,Member State,NO
40630,Gahombo,1000,3000,Member State,NO
40631,Gatara,1000,3000,Member State,NO
40629,Butaganzwa,1000,3000,Member State,NO
40633,Kayanza,1000,3000,Member State,NO
40611,Bugendana,1000,3000,Member State,NO
40683,Musongati,1000,3000,Member State,NO
40684,Rutana,1000,3000,Member State,NO
40681,Gitanga,1000,3000,Member State,NO
40649,Makamba,1000,3000,Member State,NO
40597,Rutovu,1000,3000,Member State,NO
40613,Buraza,1000,3000,Member State,NO
40620,Nyanrusange,1000,3000,Member State,NO
40615,Gishubi,1000,3000,Member State,NO
40668,Nyabihanga,1000,3000,Member State,NO
40614,Giheta,1000,3000,Member State,NO
40617,Itaba,1000,3000,Member State,NO
40612,Bukirasazi,1000,3000,Member State,NO
40616,Gitega,1000,3000,Member State,NO
40618,Makebuko,1000,3000,Member State,NO
40685,Butaganzwa1,1000,3000,Member State,NO
40682,Mpinga-Kayove,1000,3000,Member State,NO
40690,Nyabitsinda,1000,3000,Member State,NO
40691,Ruyigi,1000,3000,Member State,NO
40628,Shombo,1000,3000,Member State,NO
40686,Butezi,1000,3000,Member State,NO
40627,Nyabikere,1000,3000,Member State,NO
40687,Bweru,1000,3000,Member State,NO
40625,Gitaramuka,1000,3000,Member State,NO
40671,Gashikanwa,1000,3000,Member State,NO
40619,Mutaho,1000,3000,Member State,NO
40635,Muhanga,1000,3000,Member State,NO
40675,Ngozi,1000,3000,Member State,NO
40622,Bugenyuzi,1000,3000,Member State,NO
40624,Gihogazi,1000,3000,Member State,NO
40677,Ruhororo,1000,3000,Member State,NO
40678,Tangara,1000,3000,Member State,NO
40644,Vumbi,1000,3000,Member State,NO
40672,Kiremba,1000,3000,Member State,NO
40642,Kirundo,1000,3000,Member State,NO
40600,Cankuzo,1000,3000,Member State,NO
40626,Mutumba,1000,3000,Member State,NO
40623,Buhiga,1000,3000,Member State,NO
40663,Mwakiro,1000,3000,Member State,NO
40660,Gasorwe,1000,3000,Member State,NO
40659,Gashoho,1000,3000,Member State,NO
40641,Gitobe,1000,3000,Member State,NO
40640,Bwambarangwe,1000,3000,Member State,NO
40573,Kinindo,1000,3000,Member State,NO
40571,Kanyosha,1000,3000,Member State,NO
40565,Buterere,1000,3000,Member State,NO
40577,Rohero,1000,3000,Member State,NO
40575,Ngagara,1000,3000,Member State,NO
40566,Buyenzi,1000,3000,Member State,NO
40567,Bwiza,1000,3000,Member State,NO
40574,Musaga,1000,3000,Member State,NO
40576,Nyakabiga,1000,3000,Member State,NO
40569,Gihosha,1000,3000,Member State,NO
40572,Kinama,1000,3000,Member State,NO
40568,Cibitoke,1000,3000,Member State,NO
40570,Kamenge,1000,3000,Member State,NO
40643,Ntega,1000,3000,Member State,NO
40673,Marangara,1000,3000,Member State,NO
40676,Nyamurenza,1000,3000,Member State,NO
40674,Mwumba,1000,3000,Member State,NO
40670,Busiga,1000,3000,Member State,NO
40632,Kabarore,1000,3000,Member State,NO
40606,Bukinanyana,1000,3000,Member State,NO
40607,Mabayi,1000,3000,Member State,NO
40608,Mugina,1000,3000,Member State,NO
40610,Rugombo,1000,3000,Member State,NO
40605,Buganda,1000,3000,Member State,NO
48356,Gihanga,1000,3000,Member State,NO
40578,Administrative unit not available,1000,3000,Member State,NO
40650,Nyanza-Lac,1000,3000,Member State,NO
40648,Mabanda,1000,3000,Member State,NO
40680,Giharo,1000,3000,Member State,NO
40689,Kinyinya,1000,3000,Member State,NO
40688,Gisuru,1000,3000,Member State,NO
40601,Cendajuru,1000,3000,Member State,NO
40602,Gisagara,1000,3000,Member State,NO
40603,Kigamba,1000,3000,Member State,NO
40657,Buhinyuza,1000,3000,Member State,NO
40662,Muyinga,1000,3000,Member State,NO
40658,Butihinda,1000,3000,Member State,NO
40661,Giteranyi,1000,3000,Member State,NO
40639,Busoni,1000,3000,Member State,NO
40638,Bugabira,1000,3000,Member State,NO
40647,Kibago,1000,3000,Member State,NO
40646,Kayogoro,1000,3000,Member State,NO
40679,Bukemba,1000,3000,Member State,NO
40634,Matongo,1000,3000,Member State,NO
40636,Muruta,1000,3000,Member State,NO
40562,Musigati,1000,3000,Member State,NO
40589,Mutimbuzi,1000,3000,Member State,NO
40579,Administrative unit not available,1000,3000,Member State,NO
40564,Administrative unit not available,1000,3000,Member State,NO
40596,Rumonge,1000,3000,Member State,NO
40645,Administrative unit not available,1000,3000,Member State,NO
40604,Mishiha,1000,3000,Member State,NO
5836,Administrative unit not available,1000,3000,FR Territory,NO
11843,Administrative unit not available,1000,3000,UK Territory,NO
14420,Administrative unit not available,1000,3000,Member State,NO
14421,Administrative unit not available,1000,3000,Member State,NO
14422,Administrative unit not available,1000,3000,Member State,NO
15272,Ali Sabieh,1000,3000,Member State,NO
15273,As Eyla,1000,3000,Member State,NO
15274,Dikhil,1000,3000,Member State,NO
15275,Yoboki,1000,3000,Member State,NO
15276,Djibouti,1000,3000,Member State,NO
15277,Alaili Dadda,1000,3000,Member State,NO
15278,Obock,1000,3000,Member State,NO
15279,Balha,1000,3000,Member State,NO
15280,Dorra,1000,3000,Member State,NO
15281,Randa,1000,3000,Member State,NO
15282,Tadjourah,1000,3000,Member State,NO
15835,Adi Tekeliezan,1000,3000,Member State,NO
15836,Asmat,1000,3000,Member State,NO
15837,Elabered,1000,3000,Member State,NO
15838,Geleb,1000,3000,Member State,NO
15839,Habero,1000,3000,Member State,NO
15840,Hagaz,1000,3000,Member State,NO
15841,Halhal,1000,3000,Member State,NO
15842,Hamelmalo,1000,3000,Member State,NO
15843,Keren,1000,3000,Member State,NO
15844,Kerkebet,1000,3000,Member State,NO
15845,Sel'a,1000,3000,Member State,NO
15846,Dahlak,1000,3000,Member State,NO
15847,Adi Keih,1000,3000,Member State,NO
15848,Adi Kuala,1000,3000,Member State,NO
15849,Areza,1000,3000,Member State,NO
15850,Dbarwa,1000,3000,Member State,NO
15851,Dekemhare,1000,3000,Member State,NO
15852,Emni Haili,1000,3000,Member State,NO
15853,Mai Aini,1000,3000,Member State,NO
15854,Mai Mne,1000,3000,Member State,NO
15855,Mendefera,1000,3000,Member State,NO
15856,Segeneiti,1000,3000,Member State,NO
15857,Senafe,1000,3000,Member State,NO
15858,Tsorona,1000,3000,Member State,NO
15859,Ara'eta,1000,3000,Member State,NO
15860,Assab,1000,3000,Member State,NO
15862,Southern Srs,1000,3000,Member State,NO
15863,Akurdet,1000,3000,Member State,NO
15864,Barentu,1000,3000,Member State,NO
15865,Dge,1000,3000,Member State,NO
15866,Forto,1000,3000,Member State,NO
15867,Gonei,1000,3000,Member State,NO
15868,Haikota,1000,3000,Member State,NO
15869,La'elay Gash,1000,3000,Member State,NO
15870,Logo Anseba,1000,3000,Member State,NO
15871,Mensura,1000,3000,Member State,NO
15872,Mogolo,1000,3000,Member State,NO
15873,Molqi,1000,3000,Member State,NO
15874,Omhajer,1000,3000,Member State,NO
15875,Shambqo,1000,3000,Member State,NO
15876,Tesseney,1000,3000,Member State,NO
15877,Berik,1000,3000,Member State,NO
15878,Gala Nefhi,1000,3000,Member State,NO
15879,Northern Asmara,1000,3000,Member State,NO
15880,Northern Merab,1000,3000,Member State,NO
15881,Serejeqa,1000,3000,Member State,NO
15882,Southern Asmara,1000,3000,Member State,NO
15883,Southern Merab,1000,3000,Member State,NO
15884,Adobhe,1000,3000,Member State,NO
15885,Afabet,1000,3000,Member State,NO
15886,Foro,1000,3000,Member State,NO
15887,Gel'alo,1000,3000,Member State,NO
15888,Gindae,1000,3000,Member State,NO
15889,Massawa,1000,3000,Member State,NO
15890,Nakfa,1000,3000,Member State,NO
15891,Quarura,1000,3000,Member State,NO
15892,Sheb,1000,3000,Member State,NO
15861,Central Srs,1000,3000,Member State,NO
